 Si Density=2.33
 Energy(eV), Delta, Beta
  117.492416 -0.00402775267  0.018942656
  118.70462 -0.00299735065  0.0193972513
  119.929337 -0.00209453097  0.0194900129
  121.166695 -0.00147941615  0.0196431838
  122.416809 -0.000689067529  0.0196700525
  123.679832  2.51163583E-05  0.019549001
  124.955879  0.000624587468  0.0193822682
  126.245087  0.00101109396  0.0192771759
  127.547607  0.00143812317  0.0191594455
  128.863556  0.00184246281  0.0191764589
  130.193085  0.00238102698  0.0192421302
  131.536331  0.0030748616  0.0192927681
  132.893448  0.00397399534  0.0191098638
  134.264542  0.00485637039  0.0184362456
  135.649796  0.00523076998  0.0174658708
  137.049347  0.00527200615  0.0167067498
  138.463318  0.00510723237  0.0162882209
  139.891907  0.00500028767  0.0160522629
  141.33522  0.00514441263  0.0158553347
  142.793427  0.0051246183  0.0155048827
  144.266663  0.00504754297  0.0154696675
  145.755112  0.0051773875  0.0154175637
  147.258926  0.00536795659  0.0153061897
  148.778244  0.00559503818  0.015114367
  150.313232  0.00562637951  0.0148262084
  151.864075  0.00582477823  0.015064477
  153.430908  0.00651357695  0.0145968655
  155.013916  0.00641615363  0.0138201723
  156.613235  0.00612656772  0.013678073
  158.22908  0.00604757573  0.0136582321
  159.861572  0.00615495257  0.0136018898
  161.510925  0.00626001786  0.0136590321
  163.177292  0.00645106845  0.01370019
  164.86084  0.0067923232  0.0136161968
  166.561768  0.0071284892  0.0134314885
  168.280243  0.00744440639  0.0132915433
  170.016449  0.00794980768  0.0130111724
  171.770569  0.00839683693  0.0124248797
  173.542786  0.00861189701  0.0118952114
  175.333282  0.00859838352  0.0111240903
  177.142273  0.00843449961  0.0105961179
  178.96991  0.00822033174  0.0102095706
  180.816391  0.00804759003  0.0099825412
  182.681931  0.00808051508  0.00972894579
  184.566742  0.0079942029  0.00948178954
  186.470978  0.00790544972  0.00924044847
  188.394852  0.00784242339  0.00900427252
  190.338593  0.00778197311  0.00876955688
  192.302383  0.00772149488  0.00853953417
  194.286438  0.00765912142  0.00831556506
  196.290955  0.00759514235  0.00809745397
  198.316162  0.00752974488  0.00788505934
  200.362244  0.00745976204  0.00767823914
  202.429443  0.00738753565  0.00748002855
  204.51799  0.00731326081  0.00728998473
  206.628067  0.00724341162  0.00710816402
  208.759918  0.00717477687  0.00693108421
  210.913773  0.00710773887  0.00675842026
  213.089844  0.00704174675  0.00659005484
  215.288361  0.00697741564  0.00642588269
  217.509567  0.00691753207  0.00626579532
  219.753693  0.00686115911  0.00610722136
  222.020966  0.00680546463  0.00594920432
  224.31163  0.00674573937  0.00577922072
  226.625931  0.00668093283  0.00561409118
  228.964111  0.00661238842  0.00545367645
  231.326416  0.00653972011  0.00529784011
  233.713089  0.00646611257  0.00514645642
  236.12439  0.00639132084  0.00499940198
  238.560562  0.00631526206  0.00485655852
  241.021866  0.00623909757  0.00471779797
  243.508591  0.00616270909  0.00458299508
  246.020935  0.00608811015  0.00445203902
  248.559204  0.00601405231  0.00432368461
  251.123688  0.00593890948  0.00419411482
  253.71463  0.00586164044  0.00406783866
  256.332306  0.00578329619  0.00394501584
  258.976959  0.00570333935  0.0038258913
  261.648895  0.00562328519  0.00371036981
  264.348419  0.00554316863  0.00359833916
  267.075806  0.00546258269  0.00348968385
  269.831299  0.00538241258  0.00338431075
  272.615265  0.00530245388  0.00328211929
  275.427917  0.00522263814  0.00318301562
  278.269623  0.00514344266  0.00308690569
  281.140625  0.00506463088  0.00299370056
  284.041229  0.00498640072  0.00290330593
  286.971802  0.0049089645  0.00281563913
  289.932587  0.00483215321  0.00273062126
  292.92392  0.00475645065  0.0026481715
  295.946106  0.00468183961  0.00256821024
  298.999481  0.00460792799  0.00248928857
  302.084381  0.00453461241  0.00241231197
  305.20108  0.00446175272  0.00233710906
  308.349915  0.00438873842  0.00226425286
  311.531311  0.00431641098  0.00219366653
  314.745453  0.00424465211  0.00212528324
  317.992798  0.00417353073  0.00205902848
  321.273651  0.00410328247  0.00199483917
  324.588348  0.00403374759  0.00193265651
  327.937225  0.0039650714  0.00187241042
  331.320679  0.00389733119  0.00181403989
  334.739014  0.00383035163  0.00175748963
  338.192627  0.00376436301  0.00170270237
  341.681885  0.00369934738  0.00164962327
  345.207153  0.00363525003  0.00159819645
  348.768768  0.00357220275  0.00154837454
  352.367126  0.00351019436  0.00150010723
  356.002594  0.00344939739  0.00145334227
  359.675629  0.00338989543  0.00140803517
  363.386505  0.00333214295  0.0013641438
  367.135712  0.00327555789  0.00131940423
  370.923553  0.0032197996  0.00127498084
  374.750519  0.00316325435  0.00123131834
  378.616943  0.00310684484  0.00118915236
  382.523254  0.00305073243  0.0011484311
  386.46991  0.00299493736  0.00110910286
  390.457214  0.00293990341  0.00107112154
  394.485718  0.00288554607  0.00103443908
  398.555756  0.00283178221  0.000999013777
  402.667786  0.00277882512  0.000964801759
  406.822235  0.00272656744  0.000931761344
  411.019592  0.00267504901  0.000899851671
  415.260193  0.0026243641  0.000869035546
  419.544586  0.00257439259  0.000839274609
  423.873169  0.00252522156  0.000810533122
  428.246399  0.00247688196  0.000782775984
  432.664795  0.00242927135  0.000755969784
  437.128754  0.00238248543  0.000730081229
  441.638733  0.00233650371  0.000705078652
  446.195312  0.00229130476  0.000680932775
  450.798859  0.00224695005  0.000657614029
  455.44989  0.00220341771  0.000635093369
  460.148926  0.00216077524  0.000613231619
  464.896423  0.00211891951  0.000591969176
  469.692932  0.0020777015  0.000571024662
  474.53891  0.00203701993  0.000550822122
  479.434875  0.00199697376  0.000531334605
  484.381378  0.00195747567  0.000512534811
  489.378937  0.00191867037  0.000494401262
  494.42804  0.00188055786  0.000476909772
  499.529236  0.00184305641  0.000460036768
  504.683014  0.00180624588  0.000443760247
  509.890015  0.00177009439  0.000428058614
  515.150696  0.00173458271  0.000412914698
  520.465698  0.00169974007  0.000398306234
  525.83551  0.00166552875  0.000384213577
  531.260803  0.00163194968  0.000370619964
  536.742004  0.00159901544  0.000357507262
  542.279724  0.001566689  0.000344858563
  547.874573  0.00153498584  0.000332657277
  553.527222  0.00150390202  0.000320887571
  559.238159  0.00147341366  0.000309534487
  565.007996  0.00144353707  0.000298582978
  570.837341  0.00141425908  0.000288018899
  576.726868  0.00138563453  0.000277828571
  582.677185  0.00135759334  0.000267912925
  588.688904  0.00133011537  0.000258188258
  594.762573  0.0013030686  0.000248699944
  600.898926  0.00127649971  0.000239527479
  607.098572  0.0012503406  0.000230692938
  613.362305  0.00122464879  0.000222184346
  619.690552  0.00119944243  0.000213989711
  626.084106  0.00117468787  0.000206097538
  632.54364  0.00115040678  0.000198496156
  639.069763  0.00112659403  0.000191174928
  645.66333  0.00110322295  0.000184124132
  652.324829  0.00108031416  0.000177333466
  659.055115  0.00105785008  0.000170793035
  665.854797  0.00103580754  0.000164493569
  672.724609  0.00101420446  0.000158426628
  679.665344  0.000993023743  0.000152583845
  686.677734  0.000972179347  0.000146956329
  693.76239  0.000951723312  0.000141559416
  700.920166  0.000931662624  0.00013649452
  708.151794  0.000912080053  0.000131654495
  715.458069  0.000892949232  0.000127016567
  722.839661  0.000874265097  0.000122541605
  730.297485  0.000855977007  0.000118224569
  737.832214  0.00083807786  0.000114059942
  745.444702  0.000820566842  0.000110041736
  753.135681  0.000803428295  0.00010616504
  760.906067  0.000786657503  0.000102424769
  768.756592  0.000770248007  9.88162719E-05
  776.68811  0.000754189212  9.5334959E-05
  784.701477  0.000738485018  9.19765371E-05
  792.797546  0.000723156729  8.87054703E-05
  800.977051  0.000708168605  8.55249236E-05
  809.241028  0.000693425536  8.23512746E-05
  817.59021  0.000678960641  7.92955398E-05
  826.025635  0.000664770254  7.63532953E-05
  834.547974  0.000650852453  7.351979E-05
  843.158325  0.00063721597  7.07914442E-05
  851.857422  0.000623852015  6.81645979E-05
  860.646423  0.00061076053  6.56352349E-05
  869.526001  0.000597940583  6.31997173E-05
  878.497192  0.000585385191  6.08545051E-05
  887.560913  0.00057310675  5.85962407E-05
  896.718201  0.000561094377  5.64103066E-05
  905.96991  0.000549352204  5.4234355E-05
  915.3172  0.000537810556  5.21157745E-05
  924.760803  0.000526477641  5.00607093E-05
  934.30188  0.000515337975  4.80866838E-05
  943.941345  0.000504418393  4.61905001E-05
  953.680359  0.000493710861  4.4369026E-05
  963.519836  0.000483209296  4.26194165E-05
  973.460754  0.000472921354  4.09387467E-05
  983.504333  0.000462837808  3.93242153E-05
  993.651489  0.00045295374  3.77726465E-05
  1003.90332  0.000443271303  3.62818791E-05
  1014.26093  0.000433778099  3.48489775E-05
  1024.72534  0.000424475613  3.34723954E-05
  1035.29785  0.000415363669  3.21500484E-05
  1045.97937  0.000406428357  3.08802883E-05
  1056.77112  0.000397671625  2.96604812E-05
  1067.67419  0.000389090215  2.84887137E-05
  1078.68982  0.000380666868  2.73634159E-05
  1089.81897  0.000372408918  2.62990052E-05
  1101.06299  0.000364305568  2.53023154E-05
  1112.4231  0.000356397824  2.43671711E-05
  1123.90039  0.000348666566  2.34717481E-05
  1135.49597  0.000341105246  2.26087341E-05
  1147.2113  0.000333703501  2.17773595E-05
  1159.04749  0.000326459063  2.09765276E-05
  1171.00574  0.000319364306  2.0205207E-05
  1183.0874  0.000312418706  1.9462077E-05
  1195.2937  0.000305620226  1.8746181E-05
  1207.62598  0.000298955303  1.80556181E-05
  1220.08545  0.000292428653  1.73902263E-05
  1232.67346  0.000286035705  1.67490271E-05
  1245.39136  0.00027976805  1.61314147E-05
  1258.2406  0.000273629848  1.55365906E-05
  1271.22229  0.000267614407  1.49637954E-05
  1284.33789  0.000261717592  1.44120504E-05
  1297.58887  0.00025594153  1.38802106E-05
  1310.97656  0.000250273966  1.33661624E-05
  1324.50232  0.000244716502  1.28710817E-05
  1338.1676  0.000239271409  1.239428E-05
  1351.974  0.000233923609  1.19348952E-05
  1365.92273  0.000228680554  1.14926024E-05
  1380.0155  0.000223539959  1.10667615E-05
  1394.25366  0.000218485104  1.06559555E-05
  1408.63867  0.00021352875  1.02601589E-05
  1423.17188  0.000208662372  9.87873682E-06
  1437.85535  0.00020387565  9.51116817E-06
  1452.69019  0.000199179878  9.15719738E-06
  1467.6781  0.000194558786  8.81639244E-06
  1482.82056  0.000190010614  8.48816489E-06
  1498.11938  0.000185545301  8.17135242E-06
  1513.57605  0.000181134674  7.86057626E-06
  1529.19202  0.000176789283  7.56135796E-06
  1544.96936  0.000172515545  7.27331962E-06
  1560.90918  0.000168265018  6.99589464E-06
  1577.01367  0.000164075187  6.72907936E-06
  1593.2843  0.000159933246  6.47250181E-06
  1609.72278  0.000155795351  6.22567086E-06
  1626.33081  0.000151701854  5.98822999E-06
  1643.11035  0.000147611951  5.75979902E-06
  1660.06274  0.000143490965  5.54010876E-06
  1677.19019  0.000139385564  5.32880676E-06
  1694.49438  0.000135182665  5.12557472E-06
  1711.97705  0.000130876288  4.93010293E-06
  1729.64014  0.000126526284  4.74191484E-06
  1747.48547  0.000121756326  4.55722511E-06
  1765.51489  0.000116614683  4.3793857E-06
  1783.73022  0.000111089023  4.20812694E-06
  1802.13367  0.00010323272  4.04295679E-06
  1820.72681  8.0619473E-05  3.88422268E-06
  1839.51184  8.1530954E-05  4.23022211E-05
  1858.49072  9.22478284E-05  4.08546912E-05
  1877.66541  9.78782773E-05  3.94566996E-05
  1897.03796  0.000101710262  3.81064419E-05
  1916.61035  0.000103337443  3.6802212E-05
  1936.38477  0.000103982704  3.55424709E-05
