 Li Density=0.534
 Energy(eV), Delta, Beta
  116.292587  0.00724180881  0.00440024352
  117.492416  0.00712471036  0.00424985448
  118.70462  0.00700787175  0.00410427339
  119.929337  0.00689138751  0.00396368559
  121.166695  0.00677556125  0.00382791576
  122.416809  0.00666097598  0.00369679369
  123.679832  0.0065472573  0.00357015012
  124.955879  0.00643477403  0.00344785908
  126.245087  0.00632373244  0.00332976086
  127.547607  0.00621385733  0.00321568549
  128.863556  0.00610564603  0.00310551398
  130.193085  0.00599907106  0.00299911131
  131.536331  0.00589452265  0.00289608724
  132.893448  0.0057916427  0.002795459
  134.264542  0.00569030875  0.00269644498
  135.649796  0.00558863208  0.0026000482
  137.049347  0.00548773305  0.00250688172
  138.463318  0.00538705476  0.00241704285
  139.891907  0.00528728263  0.00233042566
  141.33522  0.00518876547  0.0022469142
  142.793427  0.00509094493  0.00216640928
  144.266663  0.00499407109  0.00208877935
  145.755112  0.00489831716  0.0020139229
  147.258926  0.00480293157  0.00194375683
  148.778244  0.00470979046  0.00187686284
  150.313232  0.00461900095  0.00181332557
  151.864075  0.00453153299  0.00175126805
  153.430908  0.00444594398  0.00169084978
  155.013916  0.00436191075  0.00163165014
  156.613235  0.00427863514  0.0015738717
  158.22908  0.00419651577  0.00151790853
  159.861572  0.00411533145  0.00146393501
  161.510925  0.00403540256  0.00141188386
  163.177292  0.00395680964  0.0013616865
  164.86084  0.00387936202  0.00131328101
  166.561768  0.00380320591  0.00126658403
  168.280243  0.00372830802  0.00122153468
  170.016449  0.00365457148  0.00117828918
  171.770569  0.00358220842  0.00113669166
  173.542786  0.00351117575  0.00109673745
  175.333282  0.00344163063  0.00105845369
  177.142273  0.00337361731  0.00102157239
  178.96991  0.00330739468  0.000985975843
  180.816391  0.0032427907  0.000951361901
  182.681931  0.00317958812  0.000917652389
  184.566742  0.00311746891  0.000883559813
  186.470978  0.00305597601  0.000850547338
  188.394852  0.00299520348  0.000818613858
  190.338593  0.00293452223  0.000787685975
  192.302383  0.00287481444  0.000758271606
  194.286438  0.00281600421  0.000730434724
  196.290955  0.00275851833  0.000703821133
  198.316162  0.00270223292  0.000678266748
  200.362244  0.00264711096  0.000653771218
  202.429443  0.00259318901  0.000630158174
  204.51799  0.00254039653  0.000607397757
  206.628067  0.00248869532  0.000585463131
  208.759918  0.00243822229  0.000564319373
  210.913773  0.00238889083  0.00054391654
  213.089844  0.00234058313  0.00052363408
  215.288361  0.0022930305  0.000504045631
  217.509567  0.00224619918  0.000485122437
  219.753693  0.0022001476  0.000466823491
  222.020966  0.00215495401  0.000449208223
  224.31163  0.00211056112  0.000432260247
  226.625931  0.00206698617  0.00041594918
  228.964111  0.00202426175  0.000400252698
  231.326416  0.00198234268  0.000385147636
  233.713089  0.00194123772  0.000370616151
  236.12439  0.00190095126  0.000356634875
  238.560562  0.0018614484  0.00034317869
  241.021866  0.00182273635  0.000330230221
  243.508591  0.00178480288  0.000317770318
  246.020935  0.00174761959  0.000305778958
  248.559204  0.00171119312  0.00029423961
  251.123688  0.00167550158  0.000283134694
  253.71463  0.00164053298  0.000272449484
  256.332306  0.00160628359  0.000262168614
  258.976959  0.00157273363  0.000252278143
  261.648895  0.0015398775  0.000242758382
  264.348419  0.00150770368  0.000233596176
  267.075806  0.00147619669  0.000224776057
  269.831299  0.00144536758  0.000216295768
  272.615265  0.00141519576  0.00020813811
  275.427917  0.00138568529  0.000200215945
  278.269623  0.00135677133  0.00019255298
  281.140625  0.00132843957  0.000185135606
  284.041229  0.00130064681  0.000177961716
  286.971802  0.00127340574  0.000171058899
  289.932587  0.00124668947  0.000164419471
  292.92392  0.00122051302  0.000158037205
  295.946106  0.00119487429  0.000151902495
  298.999481  0.00116975373  0.000146005972
  302.084381  0.0011451504  0.000140338219
  305.20108  0.00112105766  0.000134890535
  308.349915  0.00109746179  0.00012965512
  311.531311  0.00107435719  0.000124622587
  314.745453  0.00105173467  0.000119785393
  317.992798  0.00102958386  0.000115135648
  321.273651  0.00100789638  0.000110666457
  324.588348  0.000986661529  0.000106370797
  327.937225  0.000965874002  0.000102242164
  331.320679  0.000945523614  9.82736747E-05
  334.739014  0.000925601518  9.44589483E-05
  338.192627  0.000906098576  9.07922513E-05
  341.681885  0.000887006463  8.72679157E-05
  345.207153  0.000868319185  8.38806518E-05
  348.768768  0.000850026147  8.06248281E-05
  352.367126  0.000832118676  7.74953078E-05
  356.002594  0.000814594445  7.44876234E-05
  359.675629  0.000797440764  7.15965871E-05
  363.386505  0.000780650647  6.88176879E-05
  367.135712  0.000764218741  6.61462691E-05
  370.923553  0.000748136081  6.357862E-05
  374.750519  0.000732397311  6.11106734E-05
  378.616943  0.000716999057  5.87386276E-05
  382.523254  0.000701931014  5.64559668E-05
  386.46991  0.000687194406  5.42513408E-05
  390.457214  0.000672765542  5.21154652E-05
  394.485718  0.000658637262  5.00538226E-05
  398.555756  0.000644793501  4.80710478E-05
  402.667786  0.000631239032  4.61661766E-05
  406.822235  0.000617968035  4.4336186E-05
  411.019592  0.000604975503  4.25780454E-05
  415.260193  0.000592256954  4.08899541E-05
  419.544586  0.000579806918  3.926926E-05
  423.873169  0.000567620096  3.77128163E-05
  428.246399  0.000555691018  3.62179526E-05
  432.664795  0.000544016308  3.47820023E-05
  437.128754  0.000532590377  3.3403081E-05
  441.638733  0.000521406881  3.20786239E-05
  446.195312  0.000510464015  3.08051276E-05
  450.798859  0.000499754096  2.9577197E-05
  455.44989  0.000489271188  2.83944937E-05
  460.148926  0.000479008042  2.72530069E-05
  464.896423  0.000468959159  2.6155989E-05
  469.692932  0.000459119707  2.51013935E-05
  474.53891  0.000449485786  2.40891422E-05
  479.434875  0.000440054544  2.31177528E-05
  484.381378  0.000430822663  2.21856408E-05
  489.378937  0.000421785633  2.12912109E-05
  494.42804  0.000412939058  2.0432868E-05
  499.529236  0.000404280407  1.9609126E-05
  504.683014  0.000395804294  1.88186368E-05
  509.890015  0.000387506385  1.80600473E-05
  515.150696  0.000379385281  1.73324934E-05
  520.465698  0.00037143525  1.66349382E-05
  525.83551  0.000363652798  1.59661304E-05
  531.260803  0.000356037286  1.5326852E-05
  536.742004  0.000348583504  1.47138126E-05
  542.279724  0.000341289153  1.41260834E-05
  547.874573  0.000334153447  1.35615783E-05
  553.527222  0.0003271694  1.30180842E-05
  559.238159  0.000320335239  1.24919816E-05
  565.007996  0.000313642377  1.19854412E-05
  570.837341  0.000307088892  1.14988197E-05
  576.726868  0.000300673855  1.10329065E-05
  582.677185  0.000294394064  1.0586301E-05
  588.688904  0.000288246374  1.01580945E-05
  594.762573  0.000282230438  9.74753675E-06
  600.898926  0.000276341219  9.3534527E-06
  607.098572  0.000270576391  8.97513746E-06
  613.362305  0.000264934904  8.61227545E-06
  619.690552  0.000259413209  8.26400446E-06
  626.084106  0.000254010141  7.92958963E-06
  632.54364  0.000248722528  7.60511148E-06
  639.069763  0.000243546121  7.29149815E-06
  645.66333  0.000238477674  6.98545318E-06
  652.324829  0.000233512095  6.68973098E-06
  659.055115  0.000228647696  6.40500002E-06
  665.854797  0.000223876312  6.13236944E-06
  672.724609  0.00021920311  5.87708018E-06
  679.665344  0.000214625994  5.63819231E-06
  686.677734  0.00021015355  5.41683812E-06
  693.76239  0.000205778444  5.20556068E-06
