 Al Density=2.699
 Energy(eV), Delta, Beta
  116.292587  0.00481714308  0.0264310259
  117.492416  0.00512837525  0.0262715928
  118.70462  0.00544291735  0.0261131208
  119.929337  0.00577266142  0.0259555224
  121.166695  0.00613295427  0.0257988535
  122.416809  0.00651536649  0.0256431494
  123.679832  0.00698437914  0.0254884381
  124.955879  0.00748508051  0.0251690559
  126.245087  0.00798819494  0.0247490797
  127.547607  0.00835169572  0.0242683962
  128.863556  0.00866266713  0.0237970427
  130.193085  0.00892263185  0.0233348273
  131.536331  0.00914501771  0.0228816159
  132.893448  0.00934663042  0.0224372018
  134.264542  0.00952551886  0.0220014285
  135.649796  0.00968410261  0.0215740986
  137.049347  0.00982832536  0.0211550668
  138.463318  0.00995718595  0.0207441896
  139.891907  0.0100738378  0.0203412902
  141.33522  0.0101800933  0.0199462157
  142.793427  0.0102763679  0.0195588116
  144.266663  0.0103652133  0.0191789269
  145.755112  0.0104467571  0.0188064184
  147.258926  0.0105262138  0.0184411649
  148.778244  0.0106047615  0.0180829987
  150.313232  0.0106845591  0.0177317783
  151.864075  0.0107610421  0.0173488092
  153.430908  0.0108240331  0.016967576
  155.013916  0.0108645558  0.0165938288
  156.613235  0.0108942091  0.0162283108
  158.22908  0.0109160077  0.0158708319
  159.861572  0.0109301396  0.0155212292
  161.510925  0.0109388884  0.0151793258
  163.177292  0.0109426491  0.0148449568
  164.86084  0.0109431949  0.0145179676
  166.561768  0.0109411543  0.0141981691
  168.280243  0.0109367603  0.0138854105
  170.016449  0.0109342244  0.0135795493
  171.770569  0.0109319929  0.0132804289
  173.542786  0.0109327743  0.0129879033
  175.333282  0.0109483842  0.0127018038
  177.142273  0.0109745888  0.0124123879
  178.96991  0.0110306544  0.0120979352
  180.816391  0.0110655017  0.0117319822
  182.681931  0.0110805463  0.0113481786
  184.566742  0.0110322982  0.0109768715
  186.470978  0.0109722028  0.0106177554
  188.394852  0.0109022642  0.0102704102
  190.338593  0.0108162649  0.00993437227
  192.302383  0.0107240966  0.00960935466
  194.286438  0.0106245046  0.00929500628
  196.290955  0.0105167944  0.00899089966
  198.316162  0.0104056178  0.00869673584
  200.362244  0.0102894753  0.00841218699
  202.429443  0.0101687526  0.00813510083
  204.51799  0.0100455768  0.0078664599
  206.628067  0.00991685968  0.00760670891
  208.759918  0.00978557393  0.00735550141
  210.913773  0.00965290144  0.00711257569
  213.089844  0.00951595511  0.00687771896
  215.288361  0.00937787257  0.00665060477
  217.509567  0.00923848059  0.00643097889
  219.753693  0.00909454282  0.00621859636
  222.020966  0.00894852821  0.00601522392
  224.31163  0.00879821368  0.00582216727
  226.625931  0.00865060277  0.0056460388
  228.964111  0.00850713812  0.0054781572
  231.326416  0.00837190822  0.00531526795
  233.713089  0.00823901407  0.00515721878
  236.12439  0.00810829364  0.00500387093
  238.560562  0.00798000209  0.00485508097
  241.021866  0.0078537371  0.00471072085
  243.508591  0.00772944884  0.00457065646
  246.020935  0.00760731986  0.00443475135
  248.559204  0.00748716528  0.00430288445
  251.123688  0.0073690312  0.00417493004
  253.71463  0.00725322124  0.00405079313
  256.332306  0.00713953841  0.00393034704
  258.976959  0.00702837901  0.00381347607
  261.648895  0.00692182919  0.00370008615
  264.348419  0.00681864237  0.00358946435
  267.075806  0.00672087446  0.00347882533
  269.831299  0.00662270281  0.00336206704
  272.615265  0.00652444689  0.00324275577
  275.427917  0.00641863327  0.00312767318
  278.269623  0.00631258683  0.00301668001
  281.140625  0.00620609615  0.0029096303
  284.041229  0.00609887671  0.00280637853
  286.971802  0.00599245401  0.00270678871
  289.932587  0.00588642806  0.00261073047
  292.92392  0.00578090129  0.00251808111
  295.946106  0.00567654101  0.00242872024
  298.999481  0.00557290297  0.00234253542
  302.084381  0.00547030894  0.00225940393
  305.20108  0.00536904484  0.00217922078
  308.349915  0.00526860915  0.00210189028
  311.531311  0.00516954064  0.00202729972
  314.745453  0.00507187378  0.00195535738
  317.992798  0.00497521134  0.00188596675
  321.273651  0.00488002226  0.00181903783
  324.588348  0.00478615751  0.00175448193
  327.937225  0.00469347835  0.00169222371
  331.320679  0.00460228371  0.00163217355
  334.739014  0.0045123715  0.0015742504
  338.192627  0.00442373939  0.00151838188
  341.681885  0.00433655083  0.00146449695
  345.207153  0.00425048405  0.00141252822
  348.768768  0.00416568434  0.00136240362
  352.367126  0.0040822411  0.00131405669
  356.002594  0.0039992081  0.00126742327
  359.675629  0.00391746499  0.00122352107
  363.386505  0.00383691792  0.0011824097
  367.135712  0.0037590228  0.00114330323
  370.923553  0.00368302222  0.00110556837
  374.750519  0.0036089404  0.00106907927
  378.616943  0.00353647652  0.00103379576
  382.523254  0.00346552767  0.000999676296
  386.46991  0.00339608733  0.000966679188
  390.457214  0.00332807237  0.00093477522
  394.485718  0.0032614388  0.000903925276
  398.555756  0.00319617102  0.000874091638
  402.667786  0.00313223409  0.000845242757
  406.822235  0.00306959962  0.000817346212
  411.019592  0.00300826132  0.000790368009
  415.260193  0.00294818101  0.000764281605
  419.544586  0.00288934656  0.000739057141
  423.873169  0.00283178268  0.000714665686
  428.246399  0.00277547515  0.000691078836
  432.664795  0.00272053992  0.000668268651
  437.128754  0.00266686478  0.000645549793
  441.638733  0.00261424435  0.00062326726
  446.195312  0.00256213732  0.000601411506
  450.798859  0.00251082494  0.000580334803
  455.44989  0.00246035587  0.000560005603
  460.148926  0.00241071358  0.000540385372
  464.896423  0.00236201356  0.000521450478
  469.692932  0.00231422298  0.000503176183
  474.53891  0.00226728548  0.000485545868
  479.434875  0.00222126977  0.000468532293
  484.381378  0.00217615673  0.000452111679
  489.378937  0.00213191845  0.000436251081
  494.42804  0.00208856585  0.000420923432
  499.529236  0.00204609474  0.000406057574
  504.683014  0.00200443552  0.0003916196
  509.890015  0.00196358049  0.000377634307
  515.150696  0.00192336109  0.000364091975
  520.465698  0.00188390643  0.000351045863
  525.83551  0.00184520322  0.000338477548
  531.260803  0.00180723332  0.000326392008
  536.742004  0.00177003338  0.000314745994
  542.279724  0.00173358829  0.000303525507
  547.874573  0.00169792934  0.000292707206
  553.527222  0.00166301371  0.000282238296
  559.238159  0.00162882253  0.000272035279
  565.007996  0.00159525464  0.000262148067
  570.837341  0.00156233367  0.000252586498
  576.726868  0.00153002841  0.000243302784
  582.677185  0.0014983255  0.00023435145
  588.688904  0.0014672284  0.000225722586
  594.762573  0.00143671676  0.00021740071
  600.898926  0.00140681362  0.000209385951
  607.098572  0.00137749978  0.00020166696
  613.362305  0.00134877139  0.000194232329
  619.690552  0.00132064056  0.000187069178
  626.084106  0.00129310065  0.000180164367
  632.54364  0.00126612966  0.00017344761
  639.069763  0.00123970793  0.000166935526
  645.66333  0.00121378433  0.000160564043
  652.324829  0.00118830695  0.000154386362
  659.055115  0.00116329116  0.000148416511
  665.854797  0.00113855687  0.000142679812
  672.724609  0.00111428741  0.000137286115
  679.665344  0.0010904721  0.000132218833
  686.677734  0.00106729462  0.000127504842
  693.76239  0.00104466954  0.000122988407
  700.920166  0.00102260942  0.000118659933
  708.151794  0.00100109901  0.000114375129
  715.458069  0.000980046811  0.00011019699
  722.839661  0.000959390367  0.00010610398
  730.297485  0.000939121528  0.000102163584
  737.832214  0.000919255952  9.83697173E-05
  745.444702  0.000899792765  9.47159569E-05
  753.135681  0.000880728476  9.11976895E-05
  760.906067  0.000862056739  8.78098508E-05
  768.756592  0.000843767019  8.4542582E-05
  776.68811  0.000825858908  8.13903971E-05
  784.701477  0.000808322628  7.83471914E-05
  792.797546  0.000791132683  7.5408032E-05
  800.977051  0.000774295011  7.25775608E-05
  809.241028  0.000757794711  6.98531439E-05
  817.59021  0.000741630967  6.72303431E-05
  826.025635  0.0007258025  6.4705775E-05
  834.547974  0.000710295397  6.22760417E-05
  843.158325  0.000695107388  5.99372761E-05
  851.857422  0.000680235331  5.76861858E-05
  860.646423  0.000665659842  5.55174811E-05
  869.526001  0.00065138744  5.3429223E-05
  878.497192  0.000637411373  5.14183776E-05
  887.560913  0.000623715809  4.94834312E-05
  896.718201  0.000610303774  4.7621339E-05
  905.96991  0.000597164675  4.58294853E-05
  915.3172  0.000584294845  4.41051816E-05
  924.760803  0.000571693527  4.24448917E-05
  934.30188  0.000559346343  4.08440792E-05
  943.941345  0.000547247357  3.93037662E-05
  953.680359  0.000535397732  3.78215809E-05
  963.519836  0.000523783034  3.63955005E-05
  973.460754  0.000512405997  3.50227056E-05
  983.504333  0.000501263421  3.37012752E-05
  993.651489  0.000490338483  3.24322718E-05
  1003.90332  0.000479635986  3.12122938E-05
  1014.26093  0.000469145976  3.00397805E-05
  1024.72534  0.00045886726  2.89307991E-05
  1035.29785  0.000448808802  2.78620537E-05
  1045.97937  0.000438968098  2.68227941E-05
  1056.77112  0.000429314532  2.58114596E-05
  1067.67419  0.00041985503  2.48341676E-05
  1078.68982  0.000410567853  2.38935554E-05
  1089.81897  0.000401463622  2.298861E-05
  1101.06299  0.000392544316  2.21179635E-05
  1112.4231  0.000383781968  2.12801879E-05
  1123.90039  0.000375195028  2.04742373E-05
  1135.49597  0.000366777851  1.96988967E-05
  1147.2113  0.000358504272  1.89529637E-05
  1159.04749  0.000350394694  1.82352196E-05
  1171.00574  0.000342435844  1.75445475E-05
