 Be Density=1.848
 Energy(eV), Delta, Beta
  119.929337 -0.00435895938  0.0287361443
  121.166695 -0.00292226975  0.0296045002
  122.416809  0.000836620457  0.0311404802
  123.679832  0.0016717331  0.0310740657
  124.955879  0.0047688717  0.0342400558
  126.245087  0.012004518  0.0356133804
  127.547607  0.0193595234  0.031145215
  128.863556  0.0211583991  0.023979336
  130.193085  0.0202475842  0.0187649652
  131.536331  0.0177642219  0.0154880807
  132.893448  0.0154567193  0.014158967
  134.264542  0.0140921278  0.0138919745
  135.649796  0.0133642638  0.0136007695
  137.049347  0.0129719283  0.0132224429
  138.463318  0.0125064002  0.0127497362
  139.891907  0.0119357202  0.0123411855
  141.33522  0.0115252053  0.0123367906
  142.793427  0.0113814278  0.0121750198
  144.266663  0.0112903323  0.0119255362
  145.755112  0.0110998219  0.011619499
  147.258926  0.0108532878  0.0114388624
  148.778244  0.0106993858  0.0113483677
  150.313232  0.0106630158  0.0112444609
  151.864075  0.010580265  0.0110071478
  153.430908  0.0104792509  0.0109082414
  155.013916  0.0104053719  0.0108467508
  156.613235  0.0104813278  0.0108749382
  158.22908  0.0107330242  0.0108403405
  159.861572  0.0110281911  0.0106477793
  161.510925  0.0113713788  0.0103150215
  163.177292  0.0116786119  0.00978916232
  164.86084  0.011775407  0.00910518039
  166.561768  0.0116910432  0.00849832036
  168.280243  0.0114727179  0.00793358125
  170.016449  0.0111700576  0.00751480553
  171.770569  0.0109406738  0.00724424189
  173.542786  0.0107575208  0.00693002436
  175.333282  0.0105963107  0.00666764565
  177.142273  0.0104379635  0.00634032069
  178.96991  0.0101792309  0.00600767368
  180.816391  0.00986257289  0.00579618802
  182.681931  0.00963550154  0.00562672922
  184.566742  0.00943741016  0.00547160115
  186.470978  0.00926364306  0.00532579888
  188.394852  0.00906033348  0.00517969485
  190.338593  0.00890547689  0.00507888198
  192.302383  0.00877481233  0.00494493404
  194.286438  0.00866024289  0.00479164021
  196.290955  0.00849732757  0.0046593002
  198.316162  0.00834889896  0.00453132018
  200.362244  0.00821592007  0.00441095466
  202.429443  0.00808124896  0.00430552894
  204.51799  0.00798149128  0.00420991145
  206.628067  0.00789805781  0.00408306345
  208.759918  0.00778053747  0.00394241512
  210.913773  0.00767684123  0.00381802279
  213.089844  0.007573443  0.00368877803
  215.288361  0.0074392464  0.00356502645
  217.509567  0.00733410427  0.00343672023
  219.753693  0.00721066585  0.00331637589
  222.020966  0.00709963311  0.00322009833
  224.31163  0.00697561866  0.00311441696
  226.625931  0.00690133078  0.00301140454
  228.964111  0.00680594426  0.00287051755
  231.326416  0.00669717276  0.0027516312
